sample_name_dbs,haplotype_number,haplotype_reads,haplotype_list
M09-170817-2,3,1790,"H12,H31,H310"
M09-170817-3,3,10062,"H5,H19,H25"
M09-121017-3,1,7760,H28
M06-130617-1,1,3391,H1
M06-130617-2,2,4005,"H2,H11"
M06-130617-3,5,8093,"H5,H6,H8,H16,H18"
M06-170817-2,3,7442,"H3,H7,H13"
M06-170817-3,3,7263,"H2,H5,H19"
M06-170817-4,5,7368,"H4,H5,H17,H45,H79"
M06-140917-4,5,8149,"H39,H53,H57,H59,H330"
M06-121017-1,2,10305,"H2,H12"
M06-121017-4,7,3752,"H5,H7,H9,H11,H57,H59,H79"
M06-091117-4,1,19344,H9
M06-091117-5,2,4700,"H19,H83"
M06-240817-3-R,1,11347,H9
M06-130617-4-R,11,9358,"H5,H6,H7,H8,H12,H13,H20,H28,H39,H45,H49"
S06-140617-1,4,16371,"H15,H33,H36,H54"
S06-140617-5,1,8668,H4
S06-140617-6,4,3864,"H1,H4,H6,H24"
S09-200717-4,2,8524,"H7,H54"
S09-200717-5,1,12999,H25
S09-200717-9,2,8135,"H13,H54"
S06-180917-5-R,1,9372,H52
M16-121017-2,2,8494,"H13,H17"
M16-140917-2,3,11453,"H4,H16,H17"
M16-201117-2-R,2,9312,"H1,H2"
S07-210917-6,1,2918,H9
M07-130617-1,1,5955,H1
S07-011117-1-R,2,12802,"H13,H16"
S07-200617-6-R,1,16388,H15
M07-121017-1,1,5769,H9
M07-130717-1,1,9420,H42
S12-290917-2-R,1,13268,H53
M03-130717-3,1,12907,H1
S04-211217-4,1,3492,H2
S04-211217-6,1,7018,H36
S04-211217-8,1,6052,H2
S08-211217-3,1,8041,H51
S08-211217-6,1,4507,H78
S10-211217-2,4,6361,"H2,H6,H12,H22"
S10-211217-4,4,8988,"H2,H6,H22,H27"
S07-211217-3,1,9898,H1
K10-220118-2-R,3,8917,"H7,H14,H23"
K05-230318-4-R,1,8647,H25
K12-170118-3-R,1,13578,H6
K05-080318-1,1,11371,H1
K01-060418-6,1,6412,H1
K01-060418-7,1,12646,H1
K01-080318-1,1,3575,H1
K01-080318-3,1,5492,H1
K01-080318-6,1,10354,H1
K01-080318-7,4,6332,"H7,H14,H23,H25"
K09-080318-2,1,12415,H1
K09-080318-8,1,8488,H1
K03-080318-1,1,13908,H1
K03-080318-2,1,6767,H1
K07-060418-2,2,15241,"H1,H12"
K07-060418-4,1,7928,H1
K07-060418-5,1,9366,H1
K07-060418-6,1,13747,H1
K07-060418-8,1,10483,H1
K02-060418-5,2,7078,"H9,H58"
S01-250118-3,1,24620,H1
S01-250118-8,1,14501,H1
S04-220318-6,1,15433,H1
S04-220318-8,1,14064,H13
S01-220318-5,2,7997,"H6,H7"
S11-220318-9,1,19139,H1
K02-080318-7,7,10256,"H1,H2,H5,H9,H16,H50,H107"
S07-220318-1,1,10664,H1
S07-220318-2,1,11986,H1
S07-220318-3,1,23751,H1
S07-220318-5,1,420,H1
S02-220318-2,1,9261,H1
S02-220318-3,1,11542,H1
S02-220318-5,1,16250,H1
K04-080318-1,1,14104,H1
K04-080318-2,1,12430,H1
K04-080318-3,1,13913,H1
S13-220318-2,1,8361,H1
S13-220318-3,1,6338,H1
K07-080318-1,1,9235,H1
K07-080318-5,1,6867,H1
K07-080318-6,1,2107,H1
S04-250118-8,3,10536,"H2,H34,H104"
K01-110118-7,5,6270,"H5,H7,H8,H14,H25"
M16-280318-5-R,1,9437,H64
M01-090118-5-R,1,2388,H73
M04-120218-3-R,1,14870,H4
M06-220318-4-R,2,12336,"H5,H14"
M06-130218-3-R,1,12204,H40
S01-190418-7,1,7786,H10
S06-190418-1,1,5916,H55
S06-190418-6,1,2868,H33
S05-190418-5,1,10412,H3
S04-190418-2,4,9637,"H3,H36,H168,H180"
S04-190418-7,2,11497,"H2,H39"
M09-100518-2,1,6011,H6
M09-100518-3,1,5144,H4
M16-120418-5,1,4001,H2
M09-120418-2,1,6918,H48
M09-120418-3,2,2490,"H8,H48"
M14-100518-5,1,14849,H6
M09-120418-5,1,9062,H46
M15-100518-5,3,3723,"H6,H30,H64"
M05-120418-4,1,1956,H31
M13-120418-15,1,2545,H1
M16-120418-3,1,14452,H2
M01-120718-6,3,7703,"H18,H69,H263"
S04-150218-8,2,1383,"H2,H32"
S04-210917-3,1,1193,H10
S04-200717-7,3,5197,"H4,H7,H38"
S04-200717-8,1,10032,H2
S04-210917-8,3,2605,"H2,H3,H15"
K04-240717-2-R,1,11814,H8
S01-140617-2,1,15518,H2
S01-200717-5,1,5928,H10
K10-120617-2,1,5685,H5
S10-011117-5-R,1,6113,H20
S10-170617-5-R,1,11615,H15
S10-050717-2-R,2,12058,"H20,H32"
K12-060717-2,3,2433,"H2,H39,H40"
K12-051017-2,2,1307,"H7,H39"
K12-030817-2,2,2237,"H2,H39"
S10-050717-6-R,1,6083,H6
S10-050717-7-R,1,1515,H13
K12-170717-3-R,1,7280,H22
S10-250717-3-R,1,17688,H2
S10-170717-5-R,3,14911,"H2,H22,H127"
M04-170817-1,2,3793,"H7,H46"
M04-121017-1,1,6831,H45
M04-280617-3-R,1,16212,H24
S08-240817-7,1,3912,H21
S08-191017-7,1,1920,H10
K02-120617-2,2,9292,"H9,H11"
K02-070917-5,1,1398,H5
S11-221117-7-R,1,3277,H4
K02-070917-7,1,2487,H13
S11-170717-5-R,1,8026,H20
K02-120617-4,3,9650,"H2,H7,H59"
K02-120617-5,3,7136,"H4,H7,H28"
S11-161117-7,1,8145,H4
S08-200717-7,1,2336,H11
K02-120617-7,3,9153,"H13,H31,H107"
S08-191017-3,1,395,H51
M09-080218-2,1,7087,H10
M09-080218-3,4,5792,"H2,H14,H25,H28"
M12-130617-4,1,13082,H15
M12-100717-5-R,1,28514,H34
K02-071217-5,2,3345,"H4,H5"
M09-080218-4,2,7059,"H9,H20"
